,J,Location,pvalue05,pvaluebest,AUC,AccuracyTrain,AccuracyTest,RecallTest
12664,155,SalmonGums,1.0,0.3438124635476332,2,0.6607740086000956,0.6199261992619927,0.391304347826087
12665,155,PearceRAAF,1.0,1.3915039726644666e-08,2,0.6409978308026031,0.6419491525423728,0.7228915662650602
12666,155,BadgerysCreek,1.0,2.0601136484100343e-05,2,0.6294117647058823,0.6051660516605166,0.625
12667,155,WaggaWagga,0.7813040166370627,0.13426079514733644,2,0.6430555555555556,0.5716981132075472,0.5053763440860215
12668,155,PerthAirport,0.0412491544937036,1.4726408240522778e-11,2,0.6570135746606335,0.651031894934334,0.75
12669,155,Moree,1.0,0.2221728481655358,2,0.8536082474226804,0.8311195445920304,0.09722222222222222
12670,155,Nuriootpa,1.0,0.0001253954721789615,2,0.6763888888888889,0.626970227670753,0.5648148148148148
12671,155,Nhil,1.0,7.398234562919188e-05,2,0.7192660550458716,0.6907216494845361,0.6410256410256411
12672,156,Canberra,1.0,0.027347115169361228,2,0.7028320702034304,0.6333333333333333,0.424
12673,156,Perth,0.41744146878522503,2.0657032897513705e-07,2,0.6518771331058021,0.6072041166380789,0.6944444444444444
12674,156,Adelaide,1.0,1.1671744274815666e-09,2,0.6217430368373764,0.6189555125725339,0.7477477477477478
12675,156,Albury,1.0,1.9482407956829126e-05,2,0.6050955414012739,0.6287878787878788,0.6039603960396039
12676,156,Bendigo,1.0,0.001246480095987843,2,0.6471900089206066,0.6216216216216216,0.5473684210526316
12677,156,Penrith,1.0,0.02969770094390258,2,0.6060178655383168,0.547808764940239,0.5855855855855856
12678,156,Tuggeranong,1.0,0.00013030404466382947,2,0.718139534883721,0.6537037037037037,0.4957983193277311
12679,156,Richmond,0.4354142673397168,1.7231450885661813e-05,2,0.6524419155998104,0.6107899807321773,0.64
12680,156,SalmonGums,1.0,0.4096609986472306,2,0.6666666666666666,0.6138790035587188,0.3956043956043956
12681,156,PearceRAAF,1.0,6.21928024395906e-05,2,0.6586409844836811,0.5694117647058824,0.7176470588235294
12682,156,BadgerysCreek,1.0,0.8860758626655677,2,0.5971748660496834,0.519774011299435,0.4888888888888889
12683,156,WaggaWagga,1.0,0.006256602753571957,2,0.6621495327102803,0.5956284153005464,0.5344827586206896
12684,156,PerthAirport,1.0,8.118350981960426e-10,2,0.6490825688073395,0.6376554174067496,0.7291666666666666
12685,156,Moree,1.0,0.0005919484844898218,2,0.8527575442247659,0.8301526717557252,0.22388059701492538
12686,156,Nuriootpa,1.0,1.1805631337109281e-05,2,0.6890215893431327,0.6245487364620939,0.5966386554621849
12687,156,Nhil,1.0,0.0003259142025876961,2,0.6973073351903436,0.6743421052631579,0.625
12688,157,Canberra,1.0,0.09426048267139539,2,0.6658692185007975,0.5945945945945946,0.46551724137931033
12689,157,Perth,1.0,1.7789828072201716e-09,2,0.6523037542662116,0.6260720411663808,0.7181818181818181
12690,157,Adelaide,1.0,5.729460450130727e-07,2,0.610512129380054,0.5880077369439072,0.7166666666666667
12691,157,Albury,1.0,0.0032301901716917116,2,0.599273057701045,0.5717017208413002,0.5964912280701754
12692,157,Bendigo,1.0,0.0054724903398795845,2,0.6352994146780729,0.5992578849721707,0.5436893203883495
12693,157,Penrith,1.0,0.19124814208121388,2,0.5710900473933649,0.47884615384615387,0.6372549019607843
12694,157,Tuggeranong,1.0,0.16355427757793778,2,0.6504986400725294,0.5826446280991735,0.4666666666666667
